#,id,doc_cat,doc_content,doc_author,doc_createtime,photo_width,photo_height,photo_time,doc_ai_tag,sys_authors,sys_topic,photo_type,photo_name,vllm_type,vllm_summary,vllm_json,,,,,,,,,,,,,,,,,,,if_uploaded
1,330,图片制作图片库,,图片制作员1,2022/6/23 16:38,864,1919,2021/1/12 17:05,"传统建筑,现代建筑,地下通道",图片制作员1,296179_yylyzn_1610812800000@@15627@@ k,,2e9cdce2c6a8e6eb1e48b74b841df87b.JPG,"岭南传统建筑 文魁阁,古建筑,岭南历史事件",图片展示了一座传统的岭南建筑，门楣上方悬挂着一块写着“文魁阁”的牌匾，字体古朴典雅。门洞上方还有一块较小的牌匾，写着“吉祥如意”。门洞两侧有对联，内容为“一帆风顺年年好”。建筑的墙面装饰有精美的几何图案，屋顶为典型的岭南风格，瓦片整齐排列，屋檐翘起。整体氛围古朴，透露出浓厚的历史文化气息。,"{'status': 1, 'summary': '图片展示了一座传统的岭南建筑，门楣上方悬挂着一块写着“文魁阁”的牌匾，字体古朴典雅。门洞上方还有一块较小的牌匾，写着“吉祥如意”。门洞两侧有对联，内容为“一帆风顺年年好”。建筑的墙面装饰有精美的几何图案，屋顶为典型的岭南风格，瓦片整齐排列，屋檐翘起。整体氛围古朴，透露出浓厚的历史文化气息。', 'tag': '岭南传统建筑 文魁阁', 'type': [{'古建筑': 0.831}, {'岭南历史事件': 0.123}, {'特色建筑': 0.036}, {'历史遗迹报道': 0.008}, {'其他': 0.002}]}",,,,,,,,,,,,,,,,,,,1
2,668,要闻记者远传图片,"2021年2月10日入夜时分，广州市海珠区黄埔古港黄埔直街内，麻石映出青砖老房昏黄的灯光，远处一位骑车的外卖小哥在送餐，记忆中的老广生活方式和新生代的生活方法融为一体。  何奔 摄  

（作者：何奔   联系手机：18602063352）",何奔,2022/6/23 17:05,2053,3648,2021/2/10 19:28,"现代建筑,传统建筑",何奔,【每日一拍庆新春投稿】麻石街的节前宁静   何奔 摄,,a976347135d6cd634cece31d2931b410.jpg,"岭南传统建筑夜景,特色建筑,古建筑",图片展示了一条夜晚的岭南风格街道，街道两旁是具有传统特色的建筑，外墙由青砖砌成，屋檐下装饰着温暖的黄色灯光，营造出宁静而古朴的氛围。街道地面铺有石板，显得整洁而有质感。远处可见一位行人，手持物品，增添了生活气息。背景中还有现代建筑的轮廓，显示出传统与现代的融合。整体场景显得静谧而富有文化韵味。,"{'status': 1, 'summary': '图片展示了一条夜晚的岭南风格街道，街道两旁是具有传统特色的建筑，外墙由青砖砌成，屋檐下装饰着温暖的黄色灯光，营造出宁静而古朴的氛围。街道地面铺有石板，显得整洁而有质感。远处可见一位行人，手持物品，增添了生活气息。背景中还有现代建筑的轮廓，显示出传统与现代的融合。整体场景显得静谧而富有文化韵味。', 'tag': '岭南传统建筑夜景', 'type': [{'特色建筑': 0.65}, {'古建筑': 0.25}, {'旅游': 0.07}, {'历史遗迹报道': 0.02}, {'其他': 0.01}]}",,,,,,,,,,,,,,,,,,,1
3,712,图片制作图片库,,图片制作员5,2022/6/24 7:17,1134,756,2021/2/17 16:59,"传统建筑,电脑办公,家具,汽车",图片制作员5,2418953_ytyzgy_1636473600000@@111176@@ 副本,,406973338a1f05510f8a8b1b4b7c11dc.JPG,"岭南传统建筑庭院,古建筑,岭南历史事件",图片展示了一座岭南风格的传统建筑内部庭院。庭院中有一条铺有石板的小路，两侧是雕花栏杆，栏杆设计精美，具有岭南建筑的典型特征。庭院一侧的墙壁上装饰有精美的雕刻和花纹，窗户和门框也带有传统风格的装饰。庭院中放置了几个圆形木凳，旁边有一个大型花盆，里面插着几根枝条。整体氛围古朴典雅，黑白照片突显了建筑的质感和细节。,"{'status': 1, 'summary': '图片展示了一座岭南风格的传统建筑内部庭院。庭院中有一条铺有石板的小路，两侧是雕花栏杆，栏杆设计精美，具有岭南建筑的典型特征。庭院一侧的墙壁上装饰有精美的雕刻和花纹，窗户和门框也带有传统风格的装饰。庭院中放置了几个圆形木凳，旁边有一个大型花盆，里面插着几根枝条。整体氛围古朴典雅，黑白照片突显了建筑的质感和细节。', 'tag': '岭南传统建筑庭院', 'type': [{'古建筑': 0.831}, {'岭南历史事件': 0.123}, {'特色建筑': 0.036}, {'历史遗迹报道': 0.008}, {'其他': 0.002}]}",,,,,,,,,,,,,,,,,,,1
4,1497,图片制作图片库,,图片制作员5,2022/6/23 17:16,1134,756,2021/3/1 16:17,"传统建筑,自然公园",图片制作员5,540406_ysyhsw_1614700800000@@29897@@ 副本,,6689d1746fead905e8c99256e611935a.JPG,"岭南传统建筑与醒狮文化,特色建筑,民俗活动",图片展示了一座夜晚的古建筑，建筑风格典雅，屋檐飞翘，装饰精美，墙上雕刻有复杂的图案。建筑前的水池中，两只醒狮雕塑在雾气中若隐若现，显得神秘而庄重。背景中可以看到现代高楼的轮廓，形成传统与现代的对比。整体氛围宁静而庄重，灯光和雾气增添了画面的层次感。,"{'status': 1, 'summary': '图片展示了一座夜晚的古建筑，建筑风格典雅，屋檐飞翘，装饰精美，墙上雕刻有复杂的图案。建筑前的水池中，两只醒狮雕塑在雾气中若隐若现，显得神秘而庄重。背景中可以看到现代高楼的轮廓，形成传统与现代的对比。整体氛围宁静而庄重，灯光和雾气增添了画面的层次感。', 'tag': '岭南传统建筑与醒狮文化', 'type': [{'特色建筑': 0.45}, {'民俗活动': 0.3}, {'古建筑': 0.2}, {'民间艺术': 0.05}, {'旅游': 0.025}]}",,,,,,,,,,,,,,,,,,,1
5,1708,深圳记者远传图片,围屋和月池。羊城晚报记者王磊摄,王磊,2022/6/23 17:19,4000,2667,2021/3/4 18:49,"传统建筑,现代建筑,汽车",王磊,,,371e470b1fa6d75eca9cfc920d7d207f.jpeg,"岭南传统建筑群与现代生活的结合,古建筑,岭南历史事件",图片展示了一个典型的岭南传统建筑群，中心是一个圆形的池塘，周围环绕着青瓦屋顶的建筑。池塘内有绿色的水体，岸边停放着多辆汽车，显示出现代与传统元素的结合。建筑外墙为白色，部分窗户和门框为红色，具有岭南建筑的典型风格。图片中还可见一些行人和伞状遮阳棚，整体场景显得宁静而有序。,"{'status': 1, 'summary': '图片展示了一个典型的岭南传统建筑群，中心是一个圆形的池塘，周围环绕着青瓦屋顶的建筑。池塘内有绿色的水体，岸边停放着多辆汽车，显示出现代与传统元素的结合。建筑外墙为白色，部分窗户和门框为红色，具有岭南建筑的典型风格。图片中还可见一些行人和伞状遮阳棚，整体场景显得宁静而有序。', 'tag': '岭南传统建筑群与现代生活的结合', 'type': [{'古建筑': 0.65}, {'岭南历史事件': 0.2}, {'特色建筑': 0.1}, {'旅游': 0.03}, {'其他': 0.02}]}",,,,,,,,,,,,,,,,,,,1
6,2482,东莞记者远传图片,大炮在宗祠门前被挖出,王俊伟,2022/6/23 17:35,1080,810,2021/3/22 17:57,"现代建筑,传统建筑",王俊伟,（镇街）东莞厚街一宗祠旁，竟挖出一门大炮02,,6c67a60202e866e7e63b1459d9d76558.jpg,"岭南传统建筑与现代街道的对比,古建筑,岭南历史事件",图片展示了一条街道的场景，左侧是一栋老旧的砖木结构建筑，墙面斑驳，门框木质，显得破旧。右侧是一座具有岭南风格的建筑，外墙为红砖和青砖相间，门楣上有精美的雕刻装饰，门上方悬挂着红色灯笼，显示出传统建筑的特色。地面上铺有绿色防尘网，部分区域有碎石和施工痕迹，显示出正在进行的修缮或建设工作。背景中停放着一辆现代汽车，显示出传统与现代的对比。,"{'status': 1, 'summary': '图片展示了一条街道的场景，左侧是一栋老旧的砖木结构建筑，墙面斑驳，门框木质，显得破旧。右侧是一座具有岭南风格的建筑，外墙为红砖和青砖相间，门楣上有精美的雕刻装饰，门上方悬挂着红色灯笼，显示出传统建筑的特色。地面上铺有绿色防尘网，部分区域有碎石和施工痕迹，显示出正在进行的修缮或建设工作。背景中停放着一辆现代汽车，显示出传统与现代的对比。', 'tag': '岭南传统建筑与现代街道的对比', 'type': [{'古建筑': 0.5}, {'岭南历史事件': 0.3}, {'特色建筑': 0.15}, {'历史遗迹报道': 0.03}, {'其他': 0.02}]}",,,,,,,,,,,,,,,,,,,
7,4383,图片制作图片库,,图片制作员5,2022/6/23 17:16,1134,756,2021/3/1 16:32,"彩色动漫,传统建筑",图片制作员5,540395_ysyhsw_1614700800000@@29893@@ 副本,,1d503fd670d0510abd21b5b1f36bb1a7.JPG,"岭南传统建筑与人物肖像,人物,特色建筑",这张图片是一幅黑白照片，画面中一位女性站在前景，背景是一座具有传统风格的桥梁。桥梁上有多个亭子结构，亭子顶部为典型的中式屋檐，悬挂着灯笼，显示出浓厚的岭南建筑风格。桥梁横跨水面，水面平静，反射出桥梁的轮廓。女性穿着深色衬衫，表情自然，目光直视镜头，整体氛围宁静而古典。,"{'status': 1, 'summary': '这张图片是一幅黑白照片，画面中一位女性站在前景，背景是一座具有传统风格的桥梁。桥梁上有多个亭子结构，亭子顶部为典型的中式屋檐，悬挂着灯笼，显示出浓厚的岭南建筑风格。桥梁横跨水面，水面平静，反射出桥梁的轮廓。女性穿着深色衬衫，表情自然，目光直视镜头，整体氛围宁静而古典。', 'tag': '岭南传统建筑与人物肖像', 'type': [{'人物': 0.45}, {'特色建筑': 0.35}, {'古建筑': 0.15}, {'历史遗迹报道': 0.03}, {'旅游': 0.02}]}",,,,,,,,,,,,,,,,,,,
8,6852,图片制作图片库,,图片制作员1,2023/7/18 6:11,1890,1417,2023/4/17 22:00,"传统建筑,现代建筑",图片制作员1,8060618_ydfyiy_1681747200000@@309359@@k,,a4475c8acf8451db1ad4b23153afc8c3.JPG,"岭南传统建筑模型展示,特色建筑,传统工艺技艺",图片展示了一组精美的建筑模型，模型呈现了典型的岭南风格建筑，具有飞檐翘角、砖瓦结构和木质栏杆等特征。模型排列在一条长桌上，背景模糊，可能是在展览或展示环境中。建筑模型细节丰富，展示了岭南传统建筑的精致工艺和文化特色。,"{'status': 1, 'summary': '图片展示了一组精美的建筑模型，模型呈现了典型的岭南风格建筑，具有飞檐翘角、砖瓦结构和木质栏杆等特征。模型排列在一条长桌上，背景模糊，可能是在展览或展示环境中。建筑模型细节丰富，展示了岭南传统建筑的精致工艺和文化特色。', 'tag': '岭南传统建筑模型展示', 'type': [{'特色建筑': 0.65}, {'传统工艺技艺': 0.25}, {'历史遗迹报道': 0.05}, {'旅游': 0.03}, {'其他': 0.02}]}",,,,,,,,,,,,,,,,,,,
9,11477,图片制作图片库,,图片制作员1,2023/8/14 6:08,1890,1260,2023/5/12 16:16,"绘画,传统建筑,现代建筑",图片制作员1,8524099_ytyzgy_1684252800000@@319018@@k,,8306a67220de3b6b67e7626256b595f7.JPG,"岭南传统建筑,古建筑,历史遗迹报道",图片展示了一座具有岭南风格的传统建筑，建筑位于一个开阔的环境中，背景是连绵的山丘。建筑前方有一条长长的石阶，通向一座门楼，门楼上方有精美的雕刻和装饰，显示出浓厚的历史气息。建筑的墙壁部分已经显得有些破旧，墙面上有明显的风化痕迹，显示出其年代久远。整体场景显得宁静而古朴，给人一种历史沉淀的感觉。,"{'status': 1, 'summary': '图片展示了一座具有岭南风格的传统建筑，建筑位于一个开阔的环境中，背景是连绵的山丘。建筑前方有一条长长的石阶，通向一座门楼，门楼上方有精美的雕刻和装饰，显示出浓厚的历史气息。建筑的墙壁部分已经显得有些破旧，墙面上有明显的风化痕迹，显示出其年代久远。整体场景显得宁静而古朴，给人一种历史沉淀的感觉。', 'tag': '岭南传统建筑', 'type': [{'古建筑': 0.831}, {'历史遗迹报道': 0.156}, {'特色建筑': 0.089}, {'岭南历史事件': 0.045}, {'其他': 0.0}]}",,,,,,,,,,,,,,,,,,,
10,11576,图片制作图片库,,图片制作员1,2023/8/14 6:08,1644,1080,2023/5/15 18:55,"绘画,传统建筑,现代建筑,山峦",图片制作员1,8524095_ytyzgy_1684252800000@@319014@@k,,9ddd8e7a4966f733c4f8bcbec03cf65f.JPG,"岭南传统建筑,古建筑,岭南历史事件",图片展示了一座传统的岭南风格建筑，位于郁郁葱葱的山林之中。建筑外墙斑驳，呈现出岁月的痕迹，屋顶为典型的中式瓦顶，屋檐翘起，装饰有精美的雕刻和图案。建筑正面有一个门洞，门洞上方有雕刻精美的装饰，两侧有对称的窗户。建筑周围环绕着茂密的树木，环境显得宁静而古朴，给人一种历史沉淀的感觉。,"{'status': 1, 'summary': '图片展示了一座传统的岭南风格建筑，位于郁郁葱葱的山林之中。建筑外墙斑驳，呈现出岁月的痕迹，屋顶为典型的中式瓦顶，屋檐翘起，装饰有精美的雕刻和图案。建筑正面有一个门洞，门洞上方有雕刻精美的装饰，两侧有对称的窗户。建筑周围环绕着茂密的树木，环境显得宁静而古朴，给人一种历史沉淀的感觉。', 'tag': '岭南传统建筑', 'type': [{'古建筑': 0.831}, {'岭南历史事件': 0.156}, {'历史遗迹报道': 0.089}, {'特色建筑': 0.045}, {'其他': 0.0}]}",,,,,,,,,,,,,,,,,,,
